01. Ano,02. Nome Região (Portugal),03. Indicador,04. Filtro 1,05. Filtro 2,06. Filtro 3,07. Escala,08. Símbolo,09. Valor
1985,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,452.1
1985,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,347.1
1985,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,249.1
1985,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,252.4
1985,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,180.1
1985,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,161.9
1985,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,127.8
1985,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,86.4
1985,Portugal,Ganho médio mensal,Homens,Total,, euros,,186.3
1985,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,347.3
1985,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,280.5
1985,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,208.4
1985,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,234.6
1985,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,148.4
1985,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,119.6
1985,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,115.9
1985,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,82.4
1985,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,135.8
1985,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,441.0
1985,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,335.3
1985,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,244.0
1985,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,247.7
1985,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,171.5
1985,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,142.5
1985,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,124.4
1985,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,84.8
1985,Portugal,Ganho médio mensal,Total,Total,, euros,,170.5
1986,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,556.0
1986,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,426.5
1986,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,297.1
1986,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,309.2
1986,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,214.0
1986,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,193.2
1986,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,151.8
1986,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,102.7
1986,Portugal,Ganho médio mensal,Homens,Total,, euros,,222.1
1986,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,417.4
1986,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,351.2
1986,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,231.9
1986,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,283.7
1986,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,176.8
1986,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,144.4
1986,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,136.6
1986,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,98.5
1986,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,162.4
1986,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,539.5
1986,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,413.5
1986,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,288.1
1986,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,301.8
1986,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,203.7
1986,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,169.7
1986,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,147.2
1986,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,100.9
1986,Portugal,Ganho médio mensal,Total,Total,, euros,,202.7
1987,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,644.7
1987,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,504.0
1987,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,351.1
1987,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,363.3
1987,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,247.7
1987,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,221.6
1987,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,175.0
1987,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,128.1
1987,Portugal,Ganho médio mensal,Homens,Total,, euros,,257.1
1987,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,478.9
1987,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,417.1
1987,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,283.2
1987,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,327.1
1987,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,203.8
1987,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,167.0
1987,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,155.4
1987,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,116.5
1987,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,186.9
1987,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,623.4
1987,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,489.2
1987,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,341.0
1987,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,352.7
1987,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,235.3
1987,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,195.6
1987,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,169.2
1987,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,122.9
1987,Portugal,Ganho médio mensal,Total,Total,, euros,,234.0
1988,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,757.1
1988,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,567.5
1988,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,395.9
1988,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,403.8
1988,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,279.0
1988,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,246.0
1988,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,193.2
1988,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,139.7
1988,Portugal,Ganho médio mensal,Homens,Total,, euros,,286.7
1988,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,564.9
1988,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,456.9
1988,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,316.4
1988,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,362.5
1988,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,226.2
1988,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,184.4
1988,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,171.2
1988,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,131.8
1988,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,206.5
1988,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,730.2
1988,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,545.7
1988,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,383.8
1988,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,391.7
1988,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,263.8
1988,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,216.3
1988,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,186.3
1988,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,136.0
1988,Portugal,Ganho médio mensal,Total,Total,, euros,,259.5
1989,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,856.5
1989,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,631.1
1989,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,448.3
1989,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,458.1
1989,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,310.0
1989,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,268.5
1989,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,213.7
1989,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,161.5
1989,Portugal,Ganho médio mensal,Homens,Total,, euros,,323.0
1989,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,658.5
1989,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,516.3
1989,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,362.4
1989,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,414.7
1989,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,249.0
1989,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,204.3
1989,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,189.3
1989,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,149.9
1989,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,231.8
1989,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,825.0
1989,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,607.2
1989,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,434.2
1989,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,444.2
1989,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,291.7
1989,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,236.9
1989,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,205.7
1989,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,155.9
1989,Portugal,Ganho médio mensal,Total,Total,, euros,,290.9
1990,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,x,
1990,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,x,
1990,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,x,
1990,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,x,
1990,Portugal,Ganho médio mensal,Homens,Total,, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,x,
1990,Portugal,Ganho médio mensal,Mulheres,Total,, euros,x,
1990,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,x,
1990,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,x,
1990,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,x,
1990,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,x,
1990,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,x,
1990,Portugal,Ganho médio mensal,Total,Total,, euros,x,
1991,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,1215.3
1991,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,884.6
1991,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,620.2
1991,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,659.0
1991,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,419.8
1991,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,375.6
1991,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,292.0
1991,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,231.9
1991,Portugal,Ganho médio mensal,Homens,Total,, euros,,453.9
1991,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,928.3
1991,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,722.4
1991,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,511.3
1991,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,562.6
1991,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,333.6
1991,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,273.8
1991,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,255.9
1991,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,216.0
1991,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,321.4
1991,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,1164.9
1991,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,849.7
1991,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,599.3
1991,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,627.4
1991,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,392.2
1991,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,324.4
1991,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,278.7
1991,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,224.0
1991,Portugal,Ganho médio mensal,Total,Total,, euros,,405.1
1992,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,1424.3
1992,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,1046.1
1992,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,719.1
1992,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,740.4
1992,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,484.6
1992,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,426.1
1992,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,338.3
1992,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,267.9
1992,Portugal,Ganho médio mensal,Homens,Total,, euros,,528.4
1992,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,1096.5
1992,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,822.0
1992,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,588.8
1992,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,644.3
1992,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,386.7
1992,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,307.3
1992,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,290.7
1992,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,246.1
1992,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,372.9
1992,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,1362.6
1992,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,993.9
1992,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,694.7
1992,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,706.3
1992,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,452.5
1992,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,363.5
1992,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,320.3
1992,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,257.0
1992,Portugal,Ganho médio mensal,Total,Total,, euros,,469.7
1993,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,1581.1
1993,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,1119.3
1993,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,771.9
1993,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,808.1
1993,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,524.2
1993,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,446.5
1993,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,371.6
1993,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,303.0
1993,Portugal,Ganho médio mensal,Homens,Total,, euros,,578.4
1993,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,1227.3
1993,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,919.6
1993,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,648.4
1993,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,709.8
1993,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,421.4
1993,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,338.5
1993,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,317.2
1993,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,278.5
1993,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,415.4
1993,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,1511.8
1993,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,1073.1
1993,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,748.3
1993,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,772.0
1993,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,490.7
1993,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,388.3
1993,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,350.9
1993,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,290.7
1993,Portugal,Ganho médio mensal,Total,Total,, euros,,516.9
1994,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,1691.0
1994,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,1140.0
1994,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,830.2
1994,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,844.4
1994,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,558.3
1994,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,491.8
1994,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,395.0
1994,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,325.4
1994,Portugal,Ganho médio mensal,Homens,Total,, euros,,626.0
1994,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,1352.6
1994,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,957.1
1994,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,705.4
1994,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,766.7
1994,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,460.1
1994,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,377.9
1994,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,339.5
1994,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,301.5
1994,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,460.6
1994,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,1616.4
1994,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,1091.4
1994,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,805.5
1994,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,814.2
1994,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,524.9
1994,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,428.5
1994,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,371.0
1994,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,313.5
1994,Portugal,Ganho médio mensal,Total,Total,, euros,,561.4
1995,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,1745.4
1995,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,1332.2
1995,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,869.7
1995,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,945.3
1995,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,575.4
1995,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,491.9
1995,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,398.8
1995,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,331.9
1995,Portugal,Ganho médio mensal,Homens,Total,, euros,,655.5
1995,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,1312.3
1995,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,1046.4
1995,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,721.2
1995,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,812.2
1995,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,470.9
1995,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,377.9
1995,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,347.8
1995,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,306.0
1995,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,474.6
1995,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,1644.0
1995,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,1247.9
1995,Portugal,Ganho médio mensal,Total,"03. Encarregados, contra mestres e chefes de equipa",, euros,,840.3
1995,Portugal,Ganho médio mensal,Total,04. Profissionais altamente qualificados,, euros,,895.1
1995,Portugal,Ganho médio mensal,Total,05. Profissionais qualificados,, euros,,539.0
1995,Portugal,Ganho médio mensal,Total,06. Profissionais semi qualificados,, euros,,429.0
1995,Portugal,Ganho médio mensal,Total,07. Profissionais não qualificados,, euros,,377.0
1995,Portugal,Ganho médio mensal,Total,08. Praticantes e aprendizes,, euros,,318.6
1995,Portugal,Ganho médio mensal,Total,Total,, euros,,584.0
1996,Portugal,Ganho médio mensal,Homens,01. Quadros superiores,, euros,,1860.1
1996,Portugal,Ganho médio mensal,Homens,02. Quadros médios,, euros,,1336.2
1996,Portugal,Ganho médio mensal,Homens,"03. Encarregados, contra mestres e chefes de equipa",, euros,,910.9
1996,Portugal,Ganho médio mensal,Homens,04. Profissionais altamente qualificados,, euros,,978.6
1996,Portugal,Ganho médio mensal,Homens,05. Profissionais qualificados,, euros,,606.9
1996,Portugal,Ganho médio mensal,Homens,06. Profissionais semi qualificados,, euros,,515.4
1996,Portugal,Ganho médio mensal,Homens,07. Profissionais não qualificados,, euros,,428.2
1996,Portugal,Ganho médio mensal,Homens,08. Praticantes e aprendizes,, euros,,359.6
1996,Portugal,Ganho médio mensal,Homens,Total,, euros,,694.3
1996,Portugal,Ganho médio mensal,Mulheres,01. Quadros superiores,, euros,,1345.3
1996,Portugal,Ganho médio mensal,Mulheres,02. Quadros médios,, euros,,1020.8
1996,Portugal,Ganho médio mensal,Mulheres,"03. Encarregados, contra mestres e chefes de equipa",, euros,,762.3
1996,Portugal,Ganho médio mensal,Mulheres,04. Profissionais altamente qualificados,, euros,,861.7
1996,Portugal,Ganho médio mensal,Mulheres,05. Profissionais qualificados,, euros,,494.4
1996,Portugal,Ganho médio mensal,Mulheres,06. Profissionais semi qualificados,, euros,,391.0
1996,Portugal,Ganho médio mensal,Mulheres,07. Profissionais não qualificados,, euros,,365.8
1996,Portugal,Ganho médio mensal,Mulheres,08. Praticantes e aprendizes,, euros,,329.1
1996,Portugal,Ganho médio mensal,Mulheres,Total,, euros,,506.1
1996,Portugal,Ganho médio mensal,Total,01. Quadros superiores,, euros,,1724.4
1996,Portugal,Ganho médio mensal,Total,02. Quadros médios,, euros,,1234.2
